cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-0906-32-1036210-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Chofer Camion Lowboy) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva  Bermejo,Contratado,,2020-03-17,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036530-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Operador Pala Cargadora I) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036637-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion  De Servicios Consultor Individual De Linea (Operador Motoniveladora) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036647-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Chofer Camion Volqueta Iii) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-18,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036620-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Operador Pala Cargadora Ii) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-18,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036660-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Soldador) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-19,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1036771-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea  (Chofer Camion Volqueta I) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-19,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1037012-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Tecnico Encargado De Campo) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1037029-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Chofer Camion Volqueta  Ii) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-20,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
20-0906-32-1037040-0-E,Sub Gobernacion Bermejo ,Consultoria,CM,Contratacion De Servicios Consultor Individual De Linea (Mecanico) Programa Mantenimiento Y Rehabilitacion Infraestructura Vial Productiva Bermejo,Contratado,,2020-03-20,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Silvia Gabriela Segovia Ramos (Telf: 6961039), ,,   - , ,2020-03-06,Tarija,NB-SABS (D.S.0181)
