cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1410-00-1040383-0-E,Gobierno Autonomo Municipal De Antequera,Bienes,CM,"Equipamiento Centro De Capacitacion Bolivar (Pupitres Unipersonales,Sillas,Sillones Y Otros)",Contratado,,2020-05-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2020-02-28,Oruro,NB-SABS (D.S.0181)
20-1410-00-1040371-0-E,Gobierno Autonomo Municipal De Antequera,Bienes,CM,"Equipamiento Centro De Capacitacion Bolivar (Muebles,Equipos De Oficina Y Otros)",Contratado,,2020-05-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2020-02-28,Oruro,NB-SABS (D.S.0181)
17-1410-00-1040831-0-E,Gobierno Autonomo Municipal De Antequera,Servicios Generales,CM,Mantenimiento Unidades Educativas (Inst. Agua Y Alcantarillado Col. Tec. Hum. Antequera),Contratado,,2020-05-19,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-07-21,Oruro,NB-SABS (D.S.0181)
17-1410-00-1040860-0-E,Gobierno Autonomo Municipal De Antequera,Consultoria,CM,Desarrollo Productivo Municipio Antequera ( Const Invernaderos Con Sist. De Riego Tecnificado Ayllu Condor Apacheta),Contratado,,2020-05-19,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-06-30,Oruro,NB-SABS (D.S.0181)
17-1410-00-1041121-0-E,Gobierno Autonomo Municipal De Antequera,Servicios Generales,CM,Mej. Urbano Municipio Antequera (Impl. Mingitorio Publico Poblacion De Antequera _ Obra Gruesa),Contratado,,2020-05-22,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-09-04,Oruro,NB-SABS (D.S.0181)
17-1410-00-1041581-0-E,Gobierno Autonomo Municipal De Antequera,Consultoria,CM,Fortalecimiento Municipal ( Const. Sist. Agua Potable Dejahuta) Preinversion,Contratado,,2020-05-25,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-08-16,Oruro,NB-SABS (D.S.0181)
17-1410-00-1041556-0-E,Gobierno Autonomo Municipal De Antequera,Consultoria,CM,Fortalecimiento Municipal (Const. Sist. Agua Potable Challhuamayo ) Preinversion,Contratado,,2020-05-25,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-08-16,Oruro,NB-SABS (D.S.0181)
20-1410-00-1041605-0-E,Gobierno Autonomo Municipal De Antequera,Bienes,CM,"Prevencion, Control Y Atencion Del Coronavirus (Provision Camaras De Desinfeccion Epidemica, Cables Tomacorrientes Y Accesorios)",Contratado,,2020-05-25,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2020-04-16,Oruro,NB-SABS (D.S.0181)
17-1410-00-1043600-0-E,Gobierno Autonomo Municipal De Antequera,Servicios Generales,CM,Mant. Infraestructura Urbana Y Rural-Bienes Inmuebles Municipio (Mejoramiento Sist. Agua Potable Villa Surumi),Contratado,,2020-06-08,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2017-09-11,Oruro,NB-SABS (D.S.0181)
19-1410-00-1049375-0-E,Gobierno Autonomo Municipal De Antequera,Servicios Generales,CM,Ref. Y Mant. Puestos De Salud Mun. Antequera (Instalacion Y Acabados),Contratado,,2020-07-14,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Barco Condori (Telf: 25139825), ,,   - , ,2019-12-02,Oruro,NB-SABS (D.S.0181)
