cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,estado,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_del_proceso,persona_contacto,garantia,costo_pliego,arpc,reunión_aclaracion,fecha_adjudicacion_desierta,departamento,normativa
20-1514-00-1026076-1-2,Gobierno Autonomo Municipal De Ocuri,Obras,ANPE,Const. Casa Comunal Iruja,Contratado,2020-03-09,2020-03-02,ConvocatoriaDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-03-13,Potosi,NB-SABS (D.S.0181)
20-1514-00-1030267-2-1,Gobierno Autonomo Municipal De Ocuri,Servicios Generales,ANPE,Transporte Escolar Municipio De Ocuri Gestion 2020  3 Rutas De Transporte Escolar (Segunda Convocatoria),Desierto,2020-03-17,2020-03-10,ConvocatoriaEspecificaciones TecnicasDocumento Base de ContratacionInforme de la Comision/Responsable de EvaluacionRes. de Desierta (nota),FORM 100FORM 170,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-03-20,Potosi,NB-SABS (D.S.0181)
20-1514-00-1041858-0-E,Gobierno Autonomo Municipal De Ocuri,Bienes,CD,"Prevencion, Control Y Atencion Del Coronavirus (Adquisicion De Barbijos N95)",Contratado,,2020-05-27,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-04-18,Potosi,NB-SABS (D.S.0181)
20-1514-00-1041816-0-E,Gobierno Autonomo Municipal De Ocuri,Bienes,CD,"Prevencion, Control Y Atencion Del Coronavirus (Adquisicion De Insumos Y Equipamiento)",Contratado,,2020-05-27,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-04-13,Potosi,NB-SABS (D.S.0181)
20-1514-00-1043205-1-1,Gobierno Autonomo Municipal De Ocuri,Obras,ANPP,Const. Pavimento Rigido Calle 10 De Noviembre - Ocuri,Anulado desde la convocatoria,2020-06-22,2020-06-04,Documento Base de ContratacionConvocatoriaEspecificaciones TecnicasResolucion/Documento de Anulacion,FORM 100FORM 100-E,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,,Potosi,NB-SABS (D.S.0181)
19-1514-00-1043068-0-E,Gobierno Autonomo Municipal De Ocuri,Obras,CM,Refaccion Sistema De Agua Potable Iruja,Contratado,,2020-06-04,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2019-08-20,Potosi,NB-SABS (D.S.0181)
20-1514-00-1043205-1-2,Gobierno Autonomo Municipal De Ocuri,Obras,ANPP,Const. Pavimento Rigido Calle 10 De Noviembre - Ocuri,En curso,2020-06-18,2020-06-05,Documento Base de ContratacionConvocatoriaEspecificaciones Tecnicas,FORM 100,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-06-23,Potosi,NB-SABS (D.S.0181)
20-1514-00-1045576-1-1,Gobierno Autonomo Municipal De Ocuri,Obras,ANPE,Conts. Muro De Contencion Internado Ckalta,Adjudicado,2020-06-26,2020-06-18,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-06-30,Potosi,NB-SABS (D.S.0181)
20-1514-00-1045865-1-1,Gobierno Autonomo Municipal De Ocuri,Bienes,ANPP,Servicios De Salud Universal Y Gratuita ? Sus (Adquisicion De Medicamentos Primer Semestre) G.A.M De Ocuri Gestion 2020,Adjudicado,2020-07-02,2020-06-19,ConvocatoriaDocumento Base de ContratacionRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionResolución/Nota/Documento que autorice la Ampliacion,FORM 100FORM 170FORM 100-E,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - ,24/06/2020 09:30,2020-07-07,Potosi,NB-SABS (D.S.0181)
20-1514-00-1046176-1-1,Gobierno Autonomo Municipal De Ocuri,Bienes,ANPE,Adquisicion De Insumos Y Equipamiento De Bioseguridad Para U.E. Municipio De Ocuri,Desierto,2020-06-30,2020-06-23,Documento Base de ContratacionConvocatoriaRes. de Desierta (nota)Informe de la Comision/Responsable de Evaluacion,FORM 100FORM 170,Ver Ficha,Hilarion Baltazar Condori (Telf: 74259994), ,,   - , ,2020-07-02,Potosi,NB-SABS (D.S.0181)
